,Shanghai,Changshu,Nantong,Zhangjiagang,Jiangyin,Gaogang,Zhenjiang,Nanjing,Ma'anshan,Wuhu,Hefei,Tongling,Chizhou,Anqing,Jiujiang,Nanchang,Huangshi,Huanggang,Wuhan,Jiayu,Honghu,Chenglingji,Changsha,Jingzhou,Yichang,Chongqing
Shanghai,0.0,66.0,95.0,117.0,153.0,215.0,270.0,350.0,396.0,439.0,573.0,533.0,573.0,631.0,784.0,948.0,900.0,932.0,1029.0,1156.0,1201.0,1257.0,1488.0,1653.0,1820.0,2480.0
Changshu,66.0,0.0,29.0,51.0,87.0,149.0,204.0,284.0,330.0,373.0,507.0,467.0,507.0,565.0,718.0,882.0,834.0,866.0,963.0,1090.0,1135.0,1191.0,1422.0,1587.0,1754.0,2414.0
Nantong,95.0,29.0,0.0,22.0,58.0,120.0,175.0,255.0,301.0,344.0,478.0,438.0,478.0,536.0,689.0,853.0,805.0,837.0,934.0,1061.0,1106.0,1162.0,1393.0,1558.0,1725.0,2385.0
Zhangjiagang,117.0,51.0,22.0,0.0,36.0,98.0,153.0,233.0,279.0,322.0,456.0,416.0,456.0,514.0,667.0,831.0,783.0,815.0,912.0,1039.0,1084.0,1140.0,1371.0,1536.0,1703.0,2363.0
Jiangyin,153.0,87.0,58.0,36.0,0.0,62.0,117.0,197.0,243.0,286.0,420.0,380.0,420.0,478.0,631.0,795.0,747.0,779.0,876.0,1003.0,1048.0,1104.0,1335.0,1500.0,1667.0,2327.0
Gaogang,215.0,149.0,120.0,98.0,62.0,0.0,55.0,135.0,181.0,224.0,358.0,318.0,358.0,416.0,569.0,733.0,685.0,717.0,814.0,941.0,986.0,1042.0,1273.0,1438.0,1605.0,2265.0
Zhenjiang,270.0,204.0,175.0,153.0,117.0,55.0,0.0,80.0,126.0,169.0,303.0,263.0,303.0,361.0,514.0,678.0,630.0,662.0,759.0,886.0,931.0,987.0,1218.0,1383.0,1550.0,2210.0
Nanjing,350.0,284.0,255.0,233.0,197.0,135.0,80.0,0.0,46.0,89.0,223.0,183.0,223.0,281.0,434.0,598.0,550.0,582.0,679.0,806.0,851.0,907.0,1138.0,1303.0,1470.0,2130.0
Ma'anshan,396.0,330.0,301.0,279.0,243.0,181.0,126.0,46.0,0.0,43.0,177.0,137.0,177.0,235.0,388.0,552.0,504.0,536.0,633.0,760.0,805.0,861.0,1092.0,1257.0,1424.0,2084.0
Wuhu,439.0,373.0,344.0,322.0,286.0,224.0,169.0,89.0,43.0,0.0,134.0,94.0,134.0,192.0,345.0,509.0,461.0,493.0,590.0,717.0,762.0,818.0,1049.0,1214.0,1381.0,2041.0
Hefei,573.0,507.0,478.0,456.0,420.0,358.0,303.0,223.0,177.0,134.0,0.0,228.0,268.0,326.0,479.0,643.0,595.0,627.0,724.0,851.0,896.0,952.0,1183.0,1348.0,1515.0,2175.0
Tongling,533.0,467.0,438.0,416.0,380.0,318.0,263.0,183.0,137.0,94.0,228.0,0.0,40.0,98.0,251.0,415.0,367.0,399.0,496.0,623.0,668.0,724.0,955.0,1120.0,1287.0,1947.0
Chizhou,573.0,507.0,478.0,456.0,420.0,358.0,303.0,223.0,177.0,134.0,268.0,40.0,0.0,58.0,211.0,375.0,327.0,359.0,456.0,583.0,628.0,684.0,915.0,1080.0,1247.0,1907.0
Anqing,631.0,565.0,536.0,514.0,478.0,416.0,361.0,281.0,235.0,192.0,326.0,98.0,58.0,0.0,153.0,317.0,269.0,301.0,398.0,525.0,570.0,626.0,857.0,1022.0,1189.0,1849.0
Jiujiang,784.0,718.0,689.0,667.0,631.0,569.0,514.0,434.0,388.0,345.0,479.0,251.0,211.0,153.0,0.0,164.0,116.0,148.0,245.0,372.0,417.0,473.0,704.0,869.0,1036.0,1696.0
Nanchang,948.0,882.0,853.0,831.0,795.0,733.0,678.0,598.0,552.0,509.0,643.0,415.0,375.0,317.0,164.0,0.0,280.0,312.0,409.0,536.0,581.0,637.0,868.0,1033.0,1200.0,1860.0
Huangshi,900.0,834.0,805.0,783.0,747.0,685.0,630.0,550.0,504.0,461.0,595.0,367.0,327.0,269.0,116.0,280.0,0.0,32.0,129.0,256.0,301.0,357.0,588.0,753.0,920.0,1580.0
Huanggang,932.0,866.0,837.0,815.0,779.0,717.0,662.0,582.0,536.0,493.0,627.0,399.0,359.0,301.0,148.0,312.0,32.0,0.0,97.0,224.0,269.0,325.0,556.0,721.0,888.0,1548.0
Wuhan,1029.0,963.0,934.0,912.0,876.0,814.0,759.0,679.0,633.0,590.0,724.0,496.0,456.0,398.0,245.0,409.0,129.0,97.0,0.0,127.0,172.0,228.0,459.0,624.0,791.0,1451.0
Jiayu,1156.0,1090.0,1061.0,1039.0,1003.0,941.0,886.0,806.0,760.0,717.0,851.0,623.0,583.0,525.0,372.0,536.0,256.0,224.0,127.0,0.0,45.0,101.0,332.0,497.0,664.0,1324.0
Honghu,1201.0,1135.0,1106.0,1084.0,1048.0,986.0,931.0,851.0,805.0,762.0,896.0,668.0,628.0,570.0,417.0,581.0,301.0,269.0,172.0,45.0,0.0,56.0,287.0,452.0,619.0,1279.0
Chenglingji,1257.0,1191.0,1162.0,1140.0,1104.0,1042.0,987.0,907.0,861.0,818.0,952.0,724.0,684.0,626.0,473.0,637.0,357.0,325.0,228.0,101.0,56.0,0.0,231.0,396.0,563.0,1223.0
Changsha,1488.0,1422.0,1393.0,1371.0,1335.0,1273.0,1218.0,1138.0,1092.0,1049.0,1183.0,955.0,915.0,857.0,704.0,868.0,588.0,556.0,459.0,332.0,287.0,231.0,0.0,627.0,794.0,1454.0
Jingzhou,1653.0,1587.0,1558.0,1536.0,1500.0,1438.0,1383.0,1303.0,1257.0,1214.0,1348.0,1120.0,1080.0,1022.0,869.0,1033.0,753.0,721.0,624.0,497.0,452.0,396.0,627.0,0.0,167.0,827.0
Yichang,1820.0,1754.0,1725.0,1703.0,1667.0,1605.0,1550.0,1470.0,1424.0,1381.0,1515.0,1287.0,1247.0,1189.0,1036.0,1200.0,920.0,888.0,791.0,664.0,619.0,563.0,794.0,167.0,0.0,660.0
Chongqing,2480.0,2414.0,2385.0,2363.0,2327.0,2265.0,2210.0,2130.0,2084.0,2041.0,2175.0,1947.0,1907.0,1849.0,1696.0,1860.0,1580.0,1548.0,1451.0,1324.0,1279.0,1223.0,1454.0,827.0,660.0,0.0
