Source Port,Target Port,Distance
Shanghai,Port1,28.965977
Shanghai,Changshu,66.0
Shanghai,Nantong,95.0
Shanghai,Zhangjiagang,117.0
Shanghai,Jiangyin,153.0
Shanghai,Gaogang,215.0
Shanghai,Zhenjiang,270.0
Shanghai,Port2,338.687834
Shanghai,Nanjing,350.0
Shanghai,Ma'anshan,396.0
Shanghai,Wuhu,439.0
Port1,Changshu,37.034023
Port1,Nantong,66.03402299999999
Port1,Zhangjiagang,88.03402299999999
Port1,Jiangyin,124.03402299999999
Port1,Gaogang,186.034023
Port1,Zhenjiang,241.034023
Port1,Port2,309.721857
Port1,Nanjing,321.034023
Port1,Ma'anshan,367.034023
Port1,Wuhu,410.034023
Changshu,Nantong,29.0
Changshu,Zhangjiagang,51.0
Changshu,Jiangyin,87.0
Changshu,Gaogang,149.0
Changshu,Zhenjiang,204.0
Changshu,Port2,272.687834
Changshu,Nanjing,284.0
Changshu,Ma'anshan,330.0
Changshu,Wuhu,373.0
Nantong,Zhangjiagang,22.0
Nantong,Jiangyin,58.0
Nantong,Gaogang,120.0
Nantong,Zhenjiang,175.0
Nantong,Port2,243.687834
Nantong,Nanjing,255.0
Nantong,Ma'anshan,301.0
Nantong,Wuhu,344.0
Zhangjiagang,Jiangyin,36.0
Zhangjiagang,Gaogang,98.0
Zhangjiagang,Zhenjiang,153.0
Zhangjiagang,Port2,221.687834
Zhangjiagang,Nanjing,233.0
Zhangjiagang,Ma'anshan,279.0
Zhangjiagang,Wuhu,322.0
Jiangyin,Gaogang,62.0
Jiangyin,Zhenjiang,117.0
Jiangyin,Port2,185.687834
Jiangyin,Nanjing,197.0
Jiangyin,Ma'anshan,243.0
Jiangyin,Wuhu,286.0
Gaogang,Zhenjiang,55.0
Gaogang,Port2,123.687834
Gaogang,Nanjing,135.0
Gaogang,Ma'anshan,181.0
Gaogang,Wuhu,224.0
Zhenjiang,Port2,68.687834
Zhenjiang,Nanjing,80.0
Zhenjiang,Ma'anshan,126.0
Zhenjiang,Wuhu,169.0
Port2,Nanjing,11.312166
Port2,Ma'anshan,57.312166
Port2,Wuhu,100.31216599999999
Nanjing,Ma'anshan,46.0
Nanjing,Wuhu,89.0
Ma'anshan,Wuhu,43.0
